"Year","Scenario","Default","max","min","Unit"
2029,"SSP1-26",0.217286516739172,0.325833493806466,0.182424662248641,"Stock share"
2029,"SSP2-26",0.177722365754923,0.276061162431544,0.14795268601997,"Stock share"
2029,"SSP5-26",0.205293635091774,0.265614654208784,0.179549711541351,"Stock share"
2030,"SSP1-26",0.250330429094942,0.377621662541718,0.209820648749926,"Stock share"
2030,"SSP2-26",0.204125419991202,0.318177931139493,0.169978314546071,"Stock share"
2030,"SSP5-26",0.235523740291649,0.30605067892093,0.205713220934427,"Stock share"
2031,"SSP1-26",0.285447752501383,0.432149358732048,0.238918798634486,"Stock share"
2031,"SSP2-26",0.232022501055987,0.36269942424214,0.193205968473393,"Stock share"
2031,"SSP5-26",0.267541993985607,0.348864296302904,0.233410819525549,"Stock share"
2032,"SSP1-26",0.32219907327981,0.485302783644365,0.269353937673985,"Stock share"
2032,"SSP2-26",0.261182612670217,0.409287647669232,0.217716821395282,"Stock share"
2032,"SSP5-26",0.300848111238498,0.393909597518195,0.262209215833714,"Stock share"
2033,"SSP1-26",0.360622139658593,0.536847144781102,0.301158837811765,"Stock share"
2033,"SSP2-26",0.29163358108237,0.457980143198514,0.24352392848591,"Stock share"
2033,"SSP5-26",0.335460601751822,0.441233227519595,0.292125829813935,"Stock share"
2034,"SSP1-26",0.400673083822065,0.586376852776897,0.33429858775807,"Stock share"
2034,"SSP2-26",0.32334341811833,0.506388427144755,0.270473969613035,"Stock share"
2034,"SSP5-26",0.371341192054262,0.490580813559007,0.323128718936598,"Stock share"
2035,"SSP1-26",0.442236645723623,0.633477367842564,0.368678689283774,"Stock share"
2035,"SSP2-26",0.356220795054449,0.552530811316165,0.298384297766475,"Stock share"
2035,"SSP5-26",0.408387502061025,0.541273745254764,0.355130314138483,"Stock share"
2036,"SSP1-26",0.484493645730218,0.677346540976821,0.403621199459077,"Stock share"
2036,"SSP2-26",0.389295279399218,0.595191400881717,0.32650894092799,"Stock share"
2036,"SSP5-26",0.445224028057871,0.588468657687317,0.38694248013279,"Stock share"
2037,"SSP1-26",0.527743554117903,0.718114512594272,0.439374777034444,"Stock share"
2037,"SSP2-26",0.423171308939813,0.635265589955508,0.355226693636848,"Stock share"
2037,"SSP5-26",0.48291256045292,0.633012272687872,0.419483118138568,"Stock share"
2038,"SSP1-26",0.570176422914137,0.755485371756202,0.475499000302483,"Stock share"
2038,"SSP2-26",0.457443760203785,0.67231531613507,0.384326004875769,"Stock share"
2038,"SSP5-26",0.521054059086295,0.674619056395262,0.452407536955747,"Stock share"
2039,"SSP1-26",0.608965968990383,0.789108435105362,0.511142241508673,"Stock share"
2039,"SSP2-26",0.491324828287349,0.70555740292885,0.413513537721343,"Stock share"
2039,"SSP5-26",0.558877972607118,0.712949810863669,0.485049540230022,"Stock share"
2040,"SSP1-26",0.644473855202607,0.819149613160943,0.546494242481136,"Stock share"
2040,"SSP2-26",0.524989168832169,0.735411963267928,0.442806085502187,"Stock share"
2040,"SSP5-26",0.596567644932406,0.748110730791411,0.517569331797157,"Stock share"
2041,"SSP1-26",0.677947939567466,0.846047147907926,0.582616246022327,"Stock share"
2041,"SSP2-26",0.559537791021856,0.763279874655062,0.472428309937475,"Stock share"
2041,"SSP5-26",0.633588924629375,0.78080445388466,0.55143091600406,"Stock share"
2042,"SSP1-26",0.7095207979424,0.870002651410725,0.618960792334339,"Stock share"
2042,"SSP2-26",0.594934690851834,0.789199729889216,0.502408648868394,"Stock share"
2042,"SSP5-26",0.668518252203757,0.810656049275969,0.585984324520537,"Stock share"
2043,"SSP1-26",0.739225205686734,0.891063070659394,0.653650887924157,"Stock share"
2043,"SSP2-26",0.630603832022455,0.813265298739597,0.53267978238049,"Stock share"
2043,"SSP5-26",0.701369460203219,0.837676092027983,0.621203845901229,"Stock share"
2044,"SSP1-26",0.766928208626476,0.909362239318187,0.686457295125182,"Stock share"
2044,"SSP2-26",0.664560867578323,0.835400923448997,0.563216080426529,"Stock share"
2044,"SSP5-26",0.731994050667569,0.861943076173891,0.656247009888146,"Stock share"
2045,"SSP1-26",0.792515734200703,0.924984824384191,0.717183702946189,"Stock share"
2045,"SSP2-26",0.696469772972927,0.85554503995189,0.593878687300539,"Stock share"
2045,"SSP5-26",0.760289617310559,0.883442530475584,0.689161562465002,"Stock share"
2046,"SSP1-26",0.817195959088345,0.938705514008849,0.746942626739738,"Stock share"
2046,"SSP2-26",0.727323816439089,0.874879958888263,0.624939756440944,"Stock share"
2046,"SSP5-26",0.78734849012765,0.902724129737644,0.720886957611712,"Stock share"
2047,"SSP1-26",0.839201484907557,0.950080249872012,0.773946000910361,"Stock share"
2047,"SSP2-26",0.755454742741747,0.891785901679722,0.655886801075515,"Stock share"
2047,"SSP5-26",0.811637178943865,0.919265469461749,0.749806208899058,"Stock share"
2048,"SSP1-26",0.859443960977512,0.95973997801024,0.799069063986487,"Stock share"
2048,"SSP2-26",0.781680989659384,0.907162524185732,0.68700611066604,"Stock share"
2048,"SSP5-26",0.833922718642849,0.933487103203988,0.776627596084986,"Stock share"
2049,"SSP1-26",0.877767985671169,0.967835555889836,0.822122944940759,"Stock share"
2049,"SSP2-26",0.805816475645115,0.920896062687551,0.717990016354349,"Stock share"
2049,"SSP5-26",0.854104304323595,0.945515571504231,0.801211359986676,"Stock share"
2050,"SSP1-26",0.895631813387551,0.975127250949223,0.844600538933061,"Stock share"
2050,"SSP2-26",0.829578747543301,0.934626249000963,0.748199783804505,"Stock share"
2050,"SSP5-26",0.873925690240867,0.95623039764112,0.825316693581219,"Stock share"
