"Year","Scenario","Default","max","min","Unit"
2026,"SSP5-26",0.375297266948063,0.483419489168582,0.327028333978933,"Market share"
2027,"SSP1-26",0.472378037339064,0.703706704918256,0.394182423808386,"Market share"
2027,"SSP2-26",0.37789166012829,0.592929669644433,0.306212269869303,"Market share"
2027,"SSP5-26",0.419161544161368,0.540799167159483,0.364858984785532,"Market share"
2028,"SSP1-26",0.522155305459143,0.779187169996089,0.43527133981189,"Market share"
2028,"SSP2-26",0.417170472791975,0.656101578771393,0.337526823387583,"Market share"
2028,"SSP5-26",0.46302596182294,0.598178827491242,0.40268980990075,"Market share"
2029,"SSP1-26",0.571932605839833,0.854667748727768,0.476360201085741,"Market share"
2029,"SSP2-26",0.456449263934947,0.71927343580745,0.368841140729205,"Market share"
2029,"SSP5-26",0.506890316851285,0.655558469422202,0.440520545890429,"Market share"
2030,"SSP1-26",0.621709901992403,0.930148129440205,0.517449108655262,"Market share"
2030,"SSP2-26",0.495728074376414,0.782445376040363,0.400155668883957,"Market share"
2030,"SSP5-26",0.550754549435983,0.712938114406758,0.478351284235658,"Market share"
2031,"SSP1-26",0.671487175288763,0.997229267553638,0.55853796730406,"Market share"
2031,"SSP2-26",0.535006969770432,0.845617279659142,0.431470178877125,"Market share"
2031,"SSP5-26",0.594618945976963,0.770317740720131,0.516182086244631,"Market share"
2032,"SSP1-26",0.721264488641099,1,0.599626995900192,"Market share"
2032,"SSP2-26",0.574285726195458,0.908789183120011,0.462784605174102,"Market share"
2032,"SSP5-26",0.638483329691834,0.827697362021805,0.554012794519744,"Market share"
2033,"SSP1-26",0.771041838712604,1,0.640715773695427,"Market share"
2033,"SSP2-26",0.613564521293889,0.971961036155257,0.494098996857058,"Market share"
2033,"SSP5-26",0.68234771909978,0.885077114536547,0.59184354783262,"Market share"
2034,"SSP1-26",0.820819144930537,1,0.68180477696308,"Market share"
2034,"SSP2-26",0.65284335383856,1,0.525413446288857,"Market share"
2034,"SSP5-26",0.726211980999878,0.942456627722619,0.629674205180879,"Market share"
2035,"SSP1-26",0.870596334752519,1,0.722893515722695,"Market share"
2035,"SSP2-26",0.692122081148948,1,0.556727995535598,"Market share"
2035,"SSP5-26",0.77007633093638,0.994481788801486,0.667505004165419,"Market share"
2036,"SSP1-26",0.920373695686022,1,0.763982555565814,"Market share"
2036,"SSP2-26",0.731400977384931,1,0.58804238510834,"Market share"
2036,"SSP5-26",0.813940781797842,1,0.705335788362722,"Market share"
2037,"SSP1-26",0.970150974279716,1,0.805071339288077,"Market share"
2037,"SSP2-26",0.770679792123432,1,0.619356828856129,"Market share"
2037,"SSP5-26",0.857805174679221,1,0.743166504438391,"Market share"
2038,"SSP1-26",1,1,0.846160285955623,"Market share"
2038,"SSP2-26",0.80995861582764,1,0.65067124538455,"Market share"
2038,"SSP5-26",0.901669422877532,1,0.780997219527191,"Market share"
2039,"SSP1-26",1,1,0.887249222552553,"Market share"
2039,"SSP2-26",0.849237421460119,1,0.681985707360073,"Market share"
2039,"SSP5-26",0.945533859901588,1,0.818827898396616,"Market share"
2040,"SSP1-26",1,1,0.928338052337037,"Market share"
2040,"SSP2-26",0.888516137098092,1,0.713300183126801,"Market share"
2040,"SSP5-26",0.989398146143392,1,0.856658686795868,"Market share"
2041,"SSP1-26",1,1,0.969427098334788,"Market share"
2041,"SSP2-26",0.927795052349991,1,0.744614552813004,"Market share"
2041,"SSP5-26",1,1,0.894489439772008,"Market share"
2042,"SSP1-26",1,1,0.999547388302106,"Market share"
2042,"SSP2-26",0.96707391698782,1,0.775929023181445,"Market share"
2042,"SSP5-26",1,1,0.93232020376406,"Market share"
2043,"SSP1-26",1,1,1,"Market share"
2043,"SSP2-26",0.997572713074628,1,0.807243399824786,"Market share"
2043,"SSP5-26",1,1,0.970150891019886,"Market share"
2044,"SSP1-26",1,1,1,"Market share"
2044,"SSP2-26",1,1,0.838557905620956,"Market share"
2044,"SSP5-26",1,1,0.998345402938359,"Market share"
2045,"SSP1-26",1,1,1,"Market share"
2045,"SSP2-26",1,1,0.869872382076381,"Market share"
2045,"SSP5-26",1,1,1,"Market share"
2046,"SSP1-26",1,1,1,"Market share"
2046,"SSP2-26",1,1,0.901186777488432,"Market share"
2046,"SSP5-26",1,1,1,"Market share"
2047,"SSP1-26",1,1,1,"Market share"
2047,"SSP2-26",1,1,0.932501263723248,"Market share"
2047,"SSP5-26",1,1,1,"Market share"
2048,"SSP1-26",1,1,1,"Market share"
2048,"SSP2-26",1,1,0.963815770932186,"Market share"
2048,"SSP5-26",1,1,1,"Market share"
2049,"SSP1-26",1,1,1,"Market share"
2049,"SSP2-26",1,1,0.992249449812984,"Market share"
2049,"SSP5-26",1,1,1,"Market share"
2050,"SSP1-26",1,1,1,"Market share"
2050,"SSP2-26",1,1,1,"Market share"
2050,"SSP5-26",1,1,1,"Market share"
