"Age","Value","Year","Size","Technology","Scenario","rel_value"
0,35445,2039,"Car","PHEV20","SSP1,2 and 5",0.00315294126856317
0,131476,2039,"Car","PHEV40","SSP1,2 and 5",0.0116951927274823
0,6493,2039,"Light truck","BEV100","SSP1,2 and 5",0.000577572228996492
0,330648,2039,"Light truck","BEV300","SSP1,2 and 5",0.029412151913327
0,30004,2039,"Light truck","PHEV20","SSP1,2 and 5",0.00266894766037436
0,18513,2039,"Light truck","PHEV40","SSP1,2 and 5",0.00164678802947976
0,17626,2040,"Car","BEV100","SSP1,2 and 5",0.00156007993882886
0,10727354,2040,"Car","BEV300","SSP1,2 and 5",0.949479732901144
0,35262,2040,"Car","PHEV20","SSP1,2 and 5",0.00312104497917754
0,130795,2040,"Car","PHEV40","SSP1,2 and 5",0.0115766853284421
0,6460,2040,"Light truck","BEV100","SSP1,2 and 5",0.000571775581801569
0,332376,2040,"Light truck","BEV300","SSP1,2 and 5",0.0294186502750586
0,29849,2040,"Light truck","PHEV20","SSP1,2 and 5",0.00264193952650078
0,18417,2040,"Light truck","PHEV40","SSP1,2 and 5",0.00163009146904636
0,17779,2041,"Car","BEV100","SSP1,2 and 5",0.00156004488057571
0,10820714,2041,"Car","BEV300","SSP1,2 and 5",0.949479694013943
0,35569,2041,"Car","PHEV20","SSP1,2 and 5",0.00312105497256299
0,131934,2041,"Car","PHEV40","SSP1,2 and 5",0.0115767456703907
0,6516,2041,"Light truck","BEV100","SSP1,2 and 5",0.000571756141618275
0,335269,2041,"Light truck","BEV300","SSP1,2 and 5",0.029418678613293
0,30109,2041,"Light truck","PHEV20","SSP1,2 and 5",0.00264195912645559
0,18577,2041,"Light truck","PHEV40","SSP1,2 and 5",0.00163006658116064
0,18061,2042,"Car","BEV100","SSP1,2 and 5",0.00156007089205374
0,10992164,2042,"Car","BEV300","SSP1,2 and 5",0.949479823768394
0,36132,2042,"Car","PHEV20","SSP1,2 and 5",0.00312100556290823
0,134024,2042,"Car","PHEV40","SSP1,2 and 5",0.011576708999314
0,6619,2042,"Light truck","BEV100","SSP1,2 and 5",0.000571735188223447
0,340581,2042,"Light truck","BEV300","SSP1,2 and 5",0.0294186647741849
0,30586,2042,"Light truck","PHEV20","SSP1,2 and 5",0.0026419538400064
0,18871,2042,"Light truck","PHEV40","SSP1,2 and 5",0.00163003697491535
0,18336,2043,"Car","BEV100","SSP1,2 and 5",0.00156007249027933
0,11159520,2043,"Car","BEV300","SSP1,2 and 5",0.949479720589111
0,36682,2043,"Car","PHEV20","SSP1,2 and 5",0.00312099580543337
0,136065,2043,"Car","PHEV40","SSP1,2 and 5",0.0115767486578238
0,6720,2043,"Light truck","BEV100","SSP1,2 and 5",0.000571754315809177
0,345767,2043,"Light truck","BEV300","SSP1,2 and 5",0.029418716445594
0,31051,2043,"Light truck","PHEV20","SSP1,2 and 5",0.00264189631848077
0,19159,2043,"Light truck","PHEV40","SSP1,2 and 5",0.00163009537746846
0,18544,2044,"Car","BEV100","SSP1,2 and 5",0.00156003576035381
0,11286379,2044,"Car","BEV300","SSP1,2 and 5",0.949479877313754
0,37099,2044,"Car","PHEV20","SSP1,2 and 5",0.0031209969086155
0,137611,2044,"Car","PHEV40","SSP1,2 and 5",0.0115766868538637
0,6796,2044,"Light truck","BEV100","SSP1,2 and 5",0.000571721474728455
0,349697,2044,"Light truck","BEV300","SSP1,2 and 5",0.0294186704750025
0,31404,2044,"Light truck","PHEV20","SSP1,2 and 5",0.00264189835084938
0,19377,2044,"Light truck","PHEV40","SSP1,2 and 5",0.00163011286283303
0,18692,2045,"Car","BEV100","SSP1,2 and 5",0.0015600536787997
0,11376323,2045,"Car","BEV300","SSP1,2 and 5",0.949479699730563
0,37395,2045,"Car","PHEV20","SSP1,2 and 5",0.00312102542899181
0,138708,2045,"Car","PHEV40","SSP1,2 and 5",0.0115767133361304
0,6851,2045,"Light truck","BEV100","SSP1,2 and 5",0.000571791555395718
0,352484,2045,"Light truck","BEV300","SSP1,2 and 5",0.0294186796981615
0,31655,2045,"Light truck","PHEV20","SSP1,2 and 5",0.00264195908422879
0,19531,2045,"Light truck","PHEV40","SSP1,2 and 5",0.00163007748772935
0,19069,2046,"Car","BEV100","SSP1,2 and 5",0.00156003521757619
0,11605910,2046,"Car","BEV300","SSP1,2 and 5",0.949479696471747
0,38150,2046,"Car","PHEV20","SSP1,2 and 5",0.00312105215535853
0,141507,2046,"Car","PHEV40","SSP1,2 and 5",0.0115766901008734
0,6989,2046,"Light truck","BEV100","SSP1,2 and 5",0.000571770210060309
0,359598,2046,"Light truck","BEV300","SSP1,2 and 5",0.0294187185573425
0,32294,2046,"Light truck","PHEV20","SSP1,2 and 5",0.00264197269476143
0,19925,2046,"Light truck","PHEV40","SSP1,2 and 5",0.00163006459228096
0,18993,2047,"Car","BEV100","SSP1,2 and 5",0.00156002934264636
0,11559698,2047,"Car","BEV300","SSP1,2 and 5",0.949479706846231
0,37998,2047,"Car","PHEV20","SSP1,2 and 5",0.00312104433011512
0,140944,2047,"Car","PHEV40","SSP1,2 and 5",0.0115767269873084
0,6961,2047,"Light truck","BEV100","SSP1,2 and 5",0.000571756134057881
0,358166,2047,"Light truck","BEV300","SSP1,2 and 5",0.0294187052881734
0,32165,2047,"Light truck","PHEV20","SSP1,2 and 5",0.00264193880936241
0,19846,2047,"Light truck","PHEV40","SSP1,2 and 5",0.00163009226210497
0,19149,2048,"Car","BEV100","SSP1,2 and 5",0.00156007142648812
0,11654330,2048,"Car","BEV300","SSP1,2 and 5",0.949479723633783
0,38309,2048,"Car","PHEV20","SSP1,2 and 5",0.00312103902435289
0,142098,2048,"Car","PHEV40","SSP1,2 and 5",0.0115767418434962
0,7018,2048,"Light truck","BEV100","SSP1,2 and 5",0.000571757338299318
0,361098,2048,"Light truck","BEV300","SSP1,2 and 5",0.0294186992512407
0,32428,2048,"Light truck","PHEV20","SSP1,2 and 5",0.00264191321834857
0,20008,2048,"Light truck","PHEV40","SSP1,2 and 5",0.00163005426399156
0,19230,2049,"Car","BEV100","SSP1,2 and 5",0.00156009417030209
0,11703456,2049,"Car","BEV300","SSP1,2 and 5",0.949479640040924
0,38470,2049,"Car","PHEV20","SSP1,2 and 5",0.00312099962202399
0,142697,2049,"Car","PHEV40","SSP1,2 and 5",0.0115767424763181
0,7048,2049,"Light truck","BEV100","SSP1,2 and 5",0.000571791144684821
0,362620,2049,"Light truck","BEV300","SSP1,2 and 5",0.0294186868452908
0,32565,2049,"Light truck","PHEV20","SSP1,2 and 5",0.00264193794362389
0,20093,2049,"Light truck","PHEV40","SSP1,2 and 5",0.00163010775683202
0,19782,2050,"Car","BEV100","SSP1,2 and 5",0.00156008811635093
0,12039453,2050,"Car","BEV300","SSP1,2 and 5",0.949479706433404
0,39575,2050,"Car","PHEV20","SSP1,2 and 5",0.0031210437369623
0,146794,2050,"Car","PHEV40","SSP1,2 and 5",0.0115767654914376
0,7250,2050,"Light truck","BEV100","SSP1,2 and 5",0.000571764171648178
0,373030,2050,"Light truck","BEV300","SSP1,2 and 5",0.0294186467517131
0,33500,2050,"Light truck","PHEV20","SSP1,2 and 5",0.00264194479313296
0,20669,2050,"Light truck","PHEV40","SSP1,2 and 5",0.0016300405053512
