"Technology","Year","Scenario","Value","Unit"
"CNG",2039,"SSP2",357007,"Vehicles"
"EV",2039,"SSP2",102123202,"Vehicles"
"FCV",2039,"SSP2",98763,"Vehicles"
"FFV",2039,"SSP2",20002055,"Vehicles"
"HEV",2039,"SSP2",10014579,"Vehicles"
"ICEV-D",2039,"SSP2",1788513,"Vehicles"
"ICEV-G",2039,"SSP2",175991236,"Vehicles"
"CNG",2040,"SSP2",358312,"Vehicles"
"EV",2040,"SSP2",109879491,"Vehicles"
"FCV",2040,"SSP2",100465,"Vehicles"
"FFV",2040,"SSP2",20036856,"Vehicles"
"HEV",2040,"SSP2",10085440,"Vehicles"
"ICEV-D",2040,"SSP2",1803267,"Vehicles"
"ICEV-G",2040,"SSP2",170024741,"Vehicles"
"CNG",2041,"SSP2",360420,"Vehicles"
"EV",2041,"SSP2",117296449,"Vehicles"
"FCV",2041,"SSP2",102116,"Vehicles"
"FFV",2041,"SSP2",20048082,"Vehicles"
"HEV",2041,"SSP2",10161715,"Vehicles"
"ICEV-D",2041,"SSP2",1819554,"Vehicles"
"ICEV-G",2041,"SSP2",164357276,"Vehicles"
"CNG",2042,"SSP2",362677,"Vehicles"
"EV",2042,"SSP2",124381308,"Vehicles"
"FCV",2042,"SSP2",103756,"Vehicles"
"FFV",2042,"SSP2",19968363,"Vehicles"
"HEV",2042,"SSP2",10244155,"Vehicles"
"ICEV-D",2042,"SSP2",1835959,"Vehicles"
"ICEV-G",2042,"SSP2",159106458,"Vehicles"
"CNG",2043,"SSP2",365123,"Vehicles"
"EV",2043,"SSP2",131128987,"Vehicles"
"FCV",2043,"SSP2",105390,"Vehicles"
"FFV",2043,"SSP2",19921176,"Vehicles"
"HEV",2043,"SSP2",10326475,"Vehicles"
"ICEV-D",2043,"SSP2",1854824,"Vehicles"
"ICEV-G",2043,"SSP2",154157752,"Vehicles"
"CNG",2044,"SSP2",367573,"Vehicles"
"EV",2044,"SSP2",137503726,"Vehicles"
"FCV",2044,"SSP2",107004,"Vehicles"
"FFV",2044,"SSP2",19870609,"Vehicles"
"HEV",2044,"SSP2",10410929,"Vehicles"
"ICEV-D",2044,"SSP2",1874042,"Vehicles"
"ICEV-G",2044,"SSP2",149582894,"Vehicles"
"CNG",2045,"SSP2",367418,"Vehicles"
"EV",2045,"SSP2",143473513,"Vehicles"
"FCV",2045,"SSP2",108578,"Vehicles"
"FFV",2045,"SSP2",19818595,"Vehicles"
"HEV",2045,"SSP2",10493230,"Vehicles"
"ICEV-D",2045,"SSP2",1881985,"Vehicles"
"ICEV-G",2045,"SSP2",145430510,"Vehicles"
"CNG",2046,"SSP2",364378,"Vehicles"
"EV",2046,"SSP2",149160656,"Vehicles"
"FCV",2046,"SSP2",110181,"Vehicles"
"FFV",2046,"SSP2",19749780,"Vehicles"
"HEV",2046,"SSP2",10587728,"Vehicles"
"ICEV-D",2046,"SSP2",1899729,"Vehicles"
"ICEV-G",2046,"SSP2",141384103,"Vehicles"
"CNG",2047,"SSP2",359021,"Vehicles"
"EV",2047,"SSP2",154323620,"Vehicles"
"FCV",2047,"SSP2",111671,"Vehicles"
"FFV",2047,"SSP2",19838273,"Vehicles"
"HEV",2047,"SSP2",10669588,"Vehicles"
"ICEV-D",2047,"SSP2",1926270,"Vehicles"
"ICEV-G",2047,"SSP2",137710821,"Vehicles"
