"Technology","Size","Model_year","Scenario","Simulation","Value","Unit"
"ICEV-G","Light truck",2014,"Default","High weight control",2171.5621912272,"kg"
"ICEV-G","Car",2015,"Default","High weight control",1597.93270774824,"kg"
"ICEV-G","Light truck",2015,"Default","High weight control",2107.37503746258,"kg"
"ICEV-G","Car",2016,"Default","High weight control",1597.93270774824,"kg"
"ICEV-G","Light truck",2016,"Default","High weight control",2107.37503746258,"kg"
"ICEV-G","Car",2017,"Default","High weight control",1597.93270774824,"kg"
"ICEV-G","Light truck",2017,"Default","High weight control",2107.37503746258,"kg"
"ICEV-G","Car",2018,"Default","High weight control",1597.93270774824,"kg"
"ICEV-G","Light truck",2018,"Default","High weight control",2107.37503746258,"kg"
"ICEV-G","Car",2019,"Default","High weight control",1597.93270774824,"kg"
"ICEV-G","Light truck",2019,"Default","High weight control",2107.37503746258,"kg"
"ICEV-G","Car",2020,"Default","High weight control",1574.10290616054,"kg"
"ICEV-G","Light truck",2020,"Default","High weight control",2075.59311568141,"kg"
"ICEV-G","Car",2021,"Default","High weight control",1551.83514596193,"kg"
"ICEV-G","Light truck",2021,"Default","High weight control",2045.90064841314,"kg"
"ICEV-G","Car",2022,"Default","High weight control",1531.01394943507,"kg"
"ICEV-G","Light truck",2022,"Default","High weight control",2018.14317568389,"kg"
"ICEV-G","Car",2023,"Default","High weight control",1511.53318078415,"kg"
"ICEV-G","Light truck",2023,"Default","High weight control",1992.1787102707,"kg"
"ICEV-G","Car",2024,"Default","High weight control",1493.29522416287,"kg"
"ICEV-G","Light truck",2024,"Default","High weight control",1967.87664215006,"kg"
"ICEV-G","Car",2025,"Default","High weight control",1476.21023991525,"kg"
"ICEV-G","Light truck",2025,"Default","High weight control",1945.11674718691,"kg"
"ICEV-G","Car",2026,"Default","High weight control",1460.19549105957,"kg"
"ICEV-G","Light truck",2026,"Default","High weight control",1923.78828941318,"kg"
"ICEV-G","Car",2027,"Default","High weight control",1445.17473290912,"kg"
"ICEV-G","Light truck",2027,"Default","High weight control",1903.7892074063,"kg"
"ICEV-G","Car",2028,"Default","High weight control",1431.07765948727,"kg"
"ICEV-G","Light truck",2028,"Default","High weight control",1885.02537630361,"kg"
"ICEV-G","Car",2029,"Default","High weight control",1417.83940107044,"kg"
"ICEV-G","Light truck",2029,"Default","High weight control",1867.40993789534,"kg"
"ICEV-G","Car",2030,"Default","High weight control",1405.40006779221,"kg"
"ICEV-G","Light truck",2030,"Default","High weight control",1850.86269204231,"kg"
"ICEV-G","Car",2031,"Default","High weight control",1393.70433477399,"kg"
"ICEV-G","Light truck",2031,"Default","High weight control",1835.30954337699,"kg"
"ICEV-G","Car",2032,"Default","High weight control",1382.70106472148,"kg"
"ICEV-G","Light truck",2032,"Default","High weight control",1820.68199787937,"kg"
"ICEV-G","Car",2033,"Default","High weight control",1372.34296434678,"kg"
"ICEV-G","Light truck",2033,"Default","High weight control",1806.9167044821,"kg"
"ICEV-G","Car",2034,"Default","High weight control",1362.58627135198,"kg"
"ICEV-G","Light truck",2034,"Default","High weight control",1793.95503736025,"kg"
"ICEV-G","Car",2035,"Default","High weight control",1353.39046904419,"kg"
"ICEV-G","Light truck",2035,"Default","High weight control",1781.7427150073,"kg"
"ICEV-G","Car",2036,"Default","High weight control",1344.71802595094,"kg"
"ICEV-G","Light truck",2036,"Default","High weight control",1770.22945259748,"kg"
"ICEV-G","Car",2037,"Default","High weight control",1336.5341580714,"kg"
"ICEV-G","Light truck",2037,"Default","High weight control",1759.36864448949,"kg"
"ICEV-G","Car",2038,"Default","High weight control",1328.80661163743,"kg"
"ICEV-G","Light truck",2038,"Default","High weight control",1749.11707404439,"kg"
"ICEV-G","Car",2039,"Default","High weight control",1321.50546447135,"kg"
"ICEV-G","Light truck",2039,"Default","High weight control",1739.43464821385,"kg"
"ICEV-G","Car",2040,"Default","High weight control",1314.60294421835,"kg"
"ICEV-G","Light truck",2040,"Default","High weight control",1730.28415460901,"kg"
"ICEV-G","Car",2041,"Default","High weight control",1308.07326190184,"kg"
"ICEV-G","Light truck",2041,"Default","High weight control",1721.6310389868,"kg"
"ICEV-G","Car",2042,"Default","High weight control",1301.89245940327,"kg"
"ICEV-G","Light truck",2042,"Default","High weight control",1713.4432012944,"kg"
"ICEV-G","Car",2043,"Default","High weight control",1296.03826960478,"kg"
"ICEV-G","Light truck",2043,"Default","High weight control",1705.69080859427,"kg"
"ICEV-G","Car",2044,"Default","High weight control",1290.53698136184,"kg"
"ICEV-G","Light truck",2044,"Default","High weight control",1698.34612335566,"kg"
"ICEV-G","Car",2045,"Default","High weight control",1285.31939794016,"kg"
"ICEV-G","Light truck",2045,"Default","High weight control",1691.38334574484,"kg"
"ICEV-G","Car",2046,"Default","High weight control",1280.36781977777,"kg"
"ICEV-G","Light truck",2046,"Default","High weight control",1684.77846867778,"kg"
"ICEV-G","Car",2047,"Default","High weight control",1275.66576517959,"kg"
"ICEV-G","Light truck",2047,"Default","High weight control",1678.55086747131,"kg"
"ICEV-G","Car",2048,"Default","High weight control",1271.19788054894,"kg"
"ICEV-G","Light truck",2048,"Default","High weight control",1672.63548894681,"kg"
"ICEV-G","Car",2049,"Default","High weight control",1266.94985770619,"kg"
"ICEV-G","Light truck",2049,"Default","High weight control",1667.01313291444,"kg"
"ICEV-G","Car",2050,"Default","High weight control",1262.90835769095,"kg"
"ICEV-G","Light truck",2050,"Default","High weight control",1661.66590324798,"kg"
"ICEV-G","Car",1985,"Default","No weight control",1404.31063911506,"kg"
"ICEV-G","Light truck",1985,"Default","No weight control",1725.11656467259,"kg"
"ICEV-G","Car",1986,"Default","No weight control",1379.42006044695,"kg"
"ICEV-G","Light truck",1986,"Default","No weight control",1696.92897399549,"kg"
"ICEV-G","Car",1987,"Default","No weight control",1374.16431341255,"kg"
"ICEV-G","Light truck",1987,"Default","No weight control",1686.39837352304,"kg"
"ICEV-G","Car",1988,"Default","No weight control",1381.88725395155,"kg"
"ICEV-G","Light truck",1988,"Default","No weight control",1746.27029846106,"kg"
