"Year","Unit","Scenario","Default","max","min"
2045,"kg CO2 eq","SSP5",2303056113931.45,2388892913986.23,2256044755870.83
2046,"kg CO2 eq","SSP1",1870440501321.38,1956201528072.61,1828270808512.98
2046,"kg CO2 eq","SSP2",1955798331984.21,2052540558213.82,1911967886236.53
2046,"kg CO2 eq","SSP5",2343642219937.15,2430167056635.26,2294189915634.95
2047,"kg CO2 eq","SSP1",1886297721092.57,1973804492424.56,1843590528567.28
2047,"kg CO2 eq","SSP2",1973446867305.92,2072367522080.96,1929016568849.07
2047,"kg CO2 eq","SSP5",2380193054168.5,2469144915361.08,2329715296305.91
2048,"kg CO2 eq","SSP1",1903929532195.24,1992588554137.15,1859998902053.57
2048,"kg CO2 eq","SSP2",1992901084383.35,2093406053995.74,1947184096096.85
2048,"kg CO2 eq","SSP5",2418624240233.86,2509395885309.08,2366422177509.3
2049,"kg CO2 eq","SSP1",1921169331881.79,2011255626554.59,1876219821405.48
2049,"kg CO2 eq","SSP2",2011983521511.1,2114305325092.3,1965184496902.83
2049,"kg CO2 eq","SSP5",2456737091070.88,2549526343044.79,2403004784691.75
2050,"kg CO2 eq","SSP1",1943495485374.28,2032695157509.13,1896119905205.18
2050,"kg CO2 eq","SSP2",2037113163492.56,2138351930509.05,1987566889206.67
2050,"kg CO2 eq","SSP5",2502170725103.53,2593174101452.09,2444888487005.26
