"Component","Weight","Relative","Size","Technology","Unit","y_min","y_max"
"Fluids",42.4288746622579,0.0293829121335751,"Car","FFV","kg",42.4288746622579,41.6002530369984
"Wheels",36.2873896,0.0251298010767667,"Car","FFV","kg",36.2873896,59.511318944
"Total",1443.99828272213,1,"Car","FFV","kg",1443.99828272213,1728.02712502572
"Glider",1305.58219419574,0.66645782287863,"Car","ICEV-D","kg",1305.58219419574,1464.45898243083
"Powertrain",460.44052699407,0.235040116623673,"Car","ICEV-D","kg",460.44052699407,272.396142100784
"Transmission",97.9186639123008,0.0499843363828785,"Car","ICEV-D","kg",97.9186639123008,102.120300648593
"Battery Lead-Acid",16.32932532,0.00833559667880436,"Car","ICEV-D","kg",16.32932532,18.8999775231637
"Fluids",42.4288746622579,0.0216585792608928,"Car","ICEV-D","kg",42.4288746622579,41.6002530369984
"Wheels",36.2873896,0.0185235481751208,"Car","ICEV-D","kg",36.2873896,59.511318944
"Total",1958.98697468437,1,"Car","ICEV-D","kg",1958.98697468437,1958.98697468437
"Glider",944.86266094646,0.65433780098773,"Car","CNG","kg",944.86266094646,1280.53524871354
"Powertrain",333.225333094565,0.230765740570266,"Car","CNG","kg",333.225333094565,238.185477202405
"Transmission",70.864699098851,0.0490753347471172,"Car","CNG","kg",70.864699098851,89.2948496056114
"Battery Lead-Acid",16.32932532,0.011308410484545,"Car","CNG","kg",16.32932532,18.8999775231637
"Fluids",42.4288746622579,0.0293829121335751,"Car","CNG","kg",42.4288746622579,41.6002530369984
"Wheels",36.2873896,0.0251298010767667,"Car","CNG","kg",36.2873896,59.511318944
"Total",1443.99828272213,1,"Car","CNG","kg",1443.99828272213,1728.02712502572
"Glider",954.38289304793,0.613751767750356,"Car","HEV","kg",954.38289304793,1192.79765278295
"Powertrain",323.427035074872,0.207991903418882,"Car","HEV","kg",323.427035074872,355.73067842986
"Transmission",71.5787167631463,0.0460313824427245,"Car","HEV","kg",71.5787167631463,70.9998607996376
"Battery Lead-Acid",10.024391377,0.00644656140954759,"Car","HEV","kg",10.024391377,16.32932532
"EV Battery",40.0000000027438,0.0257235024752956,"Car","HEV","kg",40.0000000027438,56.2500000038584
"Traction Motor",30.5402521983445,0.0196400563241595,"Car","HEV","kg",30.5402521983445,39.7599213557205
"Generator",30.5402521983445,0.0196400563241595,"Car","HEV","kg",30.5402521983445,39.7599213557205
"Electronic Controller",25.853813326973,0.016626265776665,"Car","HEV","kg",25.853813326973,31.1434466650001
"Fluids",32.3634546987308,0.0208125351748704,"Car","HEV","kg",32.3634546987308,43.045915913
"Wheels",36.2873896,0.0233359689033397,"Car","HEV","kg",36.2873896,54.4310844
"Total",1554.99819828808,1,"Car","HEV","kg",1554.99819828808,1900.24780702575
"Glider",954.624090279917,0.587861403469328,"Car","PHEV20","kg",954.624090279917,1193.27227026801
"Powertrain",331.962924672716,0.204424121269204,"Car","PHEV20","kg",331.962924672716,366.068072435468
"Transmission",71.5968060849404,0.0440896048377251,"Car","PHEV20","kg",71.5968060849404,71.0281108481746
"Battery Lead-Acid",10.024391377,0.00617306104445898,"Car","PHEV20","kg",10.024391377,16.32932532
"EV Battery",100.894934073777,0.062131511399596,"Car","PHEV20","kg",74.5762711915562,110.169491532981
"Traction Motor",30.0706594511552,0.0185176345832849,"Car","PHEV20","kg",30.0706594511552,40.7227829951322
"Generator",30.0706594511552,0.0185176345832849,"Car","PHEV20","kg",30.0706594511552,40.7227829951322
"Electronic Controller",25.9978131557209,0.0160095592437585,"Car","PHEV20","kg",25.9978131557209,31.3774463867154
"Fluids",32.3634546987308,0.0199295472364764,"Car","PHEV20","kg",32.3634546987308,43.045915913
"Wheels",36.2873896,0.0223459223328832,"Car","PHEV20","kg",36.2873896,54.4310844
"Total",1623.89312284511,1,"Car","PHEV20","kg",1597.57445996289,1967.16728309462
"Glider",956.685307649714,0.572285398178191,"Car","PHEV40","kg",956.685307649714,1196.11807502648
