"Technology","Year","Scenario","Value","Unit"
"FCV",2031,"SSP5",7573,"Vehicles"
"FFV",2031,"SSP5",1267050,"Vehicles"
"HEV",2031,"SSP5",784039,"Vehicles"
"ICEV-D",2031,"SSP5",119956,"Vehicles"
"ICEV-G",2031,"SSP5",13228257,"Vehicles"
"CNG",2032,"SSP5",23652,"Vehicles"
"EV",2032,"SSP5",7781427,"Vehicles"
"FCV",2032,"SSP5",7666,"Vehicles"
"FFV",2032,"SSP5",1282587,"Vehicles"
"HEV",2032,"SSP5",793653,"Vehicles"
"ICEV-D",2032,"SSP5",121428,"Vehicles"
"ICEV-G",2032,"SSP5",12708892,"Vehicles"
"CNG",2033,"SSP5",24016,"Vehicles"
"EV",2033,"SSP5",8823922,"Vehicles"
"FCV",2033,"SSP5",7784,"Vehicles"
"FFV",2033,"SSP5",1302323,"Vehicles"
"HEV",2033,"SSP5",805865,"Vehicles"
"ICEV-D",2033,"SSP5",123296,"Vehicles"
"ICEV-G",2033,"SSP5",11981696,"Vehicles"
"CNG",2034,"SSP5",24424,"Vehicles"
"EV",2034,"SSP5",9677464,"Vehicles"
"FCV",2034,"SSP5",7915,"Vehicles"
"FFV",2034,"SSP5",1324422,"Vehicles"
"HEV",2034,"SSP5",819540,"Vehicles"
"ICEV-D",2034,"SSP5",125389,"Vehicles"
"ICEV-G",2034,"SSP5",11481199,"Vehicles"
"CNG",2035,"SSP5",24836,"Vehicles"
"EV",2035,"SSP5",10795039,"Vehicles"
"FCV",2035,"SSP5",8050,"Vehicles"
"FFV",2035,"SSP5",1346773,"Vehicles"
"HEV",2035,"SSP5",833371,"Vehicles"
"ICEV-D",2035,"SSP5",127504,"Vehicles"
"ICEV-G",2035,"SSP5",10720712,"Vehicles"
"CNG",2036,"SSP5",24162,"Vehicles"
"EV",2036,"SSP5",11198649,"Vehicles"
"FCV",2036,"SSP5",7832,"Vehicles"
"FFV",2036,"SSP5",1310260,"Vehicles"
"HEV",2036,"SSP5",810777,"Vehicles"
"ICEV-D",2036,"SSP5",124048,"Vehicles"
"ICEV-G",2036,"SSP5",9733768,"Vehicles"
"CNG",2037,"SSP5",24476,"Vehicles"
"EV",2037,"SSP5",12284316,"Vehicles"
"FCV",2037,"SSP5",7933,"Vehicles"
"FFV",2037,"SSP5",1327255,"Vehicles"
"HEV",2037,"SSP5",821292,"Vehicles"
"ICEV-D",2037,"SSP5",125656,"Vehicles"
"ICEV-G",2037,"SSP5",8919593,"Vehicles"
"CNG",2038,"SSP5",24679,"Vehicles"
"EV",2038,"SSP5",13097631,"Vehicles"
"FCV",2038,"SSP5",7998,"Vehicles"
"FFV",2038,"SSP5",1338289,"Vehicles"
"HEV",2038,"SSP5",828121,"Vehicles"
"ICEV-D",2038,"SSP5",126701,"Vehicles"
"ICEV-G",2038,"SSP5",8282572,"Vehicles"
"CNG",2039,"SSP5",24627,"Vehicles"
"EV",2039,"SSP5",13779963,"Vehicles"
"FCV",2039,"SSP5",7982,"Vehicles"
"FFV",2039,"SSP5",1335494,"Vehicles"
"HEV",2039,"SSP5",826391,"Vehicles"
"ICEV-D",2039,"SSP5",126436,"Vehicles"
"ICEV-G",2039,"SSP5",7555575,"Vehicles"
"CNG",2040,"SSP5",24692,"Vehicles"
"EV",2040,"SSP5",14527087,"Vehicles"
"FCV",2040,"SSP5",8002,"Vehicles"
"FFV",2040,"SSP5",1338943,"Vehicles"
"HEV",2040,"SSP5",828525,"Vehicles"
"ICEV-D",2040,"SSP5",126763,"Vehicles"
"ICEV-G",2040,"SSP5",6863564,"Vehicles"
"CNG",2041,"SSP5",25720,"Vehicles"
"EV",2041,"SSP5",15132361,"Vehicles"
"FCV",2041,"SSP5",8336,"Vehicles"
"FFV",2041,"SSP5",1394730,"Vehicles"
"HEV",2041,"SSP5",863046,"Vehicles"
"ICEV-D",2041,"SSP5",132044,"Vehicles"
"ICEV-G",2041,"SSP5",7149536,"Vehicles"
"CNG",2042,"SSP5",26197,"Vehicles"
"EV",2042,"SSP5",15413139,"Vehicles"
"FCV",2042,"SSP5",8491,"Vehicles"
"FFV",2042,"SSP5",1420610,"Vehicles"
"HEV",2042,"SSP5",879060,"Vehicles"
"ICEV-D",2042,"SSP5",134495,"Vehicles"
"ICEV-G",2042,"SSP5",7282196,"Vehicles"
"CNG",2043,"SSP5",26667,"Vehicles"
"EV",2043,"SSP5",15689715,"Vehicles"
"FCV",2043,"SSP5",8643,"Vehicles"
"FFV",2043,"SSP5",1446102,"Vehicles"
"HEV",2043,"SSP5",894834,"Vehicles"
"ICEV-D",2043,"SSP5",136909,"Vehicles"
"ICEV-G",2043,"SSP5",7412868,"Vehicles"
"CNG",2044,"SSP5",27068,"Vehicles"
"EV",2044,"SSP5",15925328,"Vehicles"
"FCV",2044,"SSP5",8773,"Vehicles"
"FFV",2044,"SSP5",1467818,"Vehicles"
"HEV",2044,"SSP5",908272,"Vehicles"
"ICEV-D",2044,"SSP5",138964,"Vehicles"
"ICEV-G",2044,"SSP5",7524188,"Vehicles"
"CNG",2045,"SSP5",27410,"Vehicles"
"EV",2045,"SSP5",16126681,"Vehicles"
"FCV",2045,"SSP5",8884,"Vehicles"
"FFV",2045,"SSP5",1486376,"Vehicles"
"HEV",2045,"SSP5",919755,"Vehicles"
"ICEV-D",2045,"SSP5",140721,"Vehicles"
"ICEV-G",2045,"SSP5",7619320,"Vehicles"
"CNG",2046,"SSP5",28216,"Vehicles"
"EV",2046,"SSP5",16600617,"Vehicles"
"FCV",2046,"SSP5",9145,"Vehicles"
"FFV",2046,"SSP5",1530058,"Vehicles"
"HEV",2046,"SSP5",946785,"Vehicles"
"ICEV-D",2046,"SSP5",144857,"Vehicles"
"ICEV-G",2046,"SSP5",7843238,"Vehicles"
"CNG",2047,"SSP5",28321,"Vehicles"
"EV",2047,"SSP5",16662292,"Vehicles"
"FCV",2047,"SSP5",9179,"Vehicles"
"FFV",2047,"SSP5",1535743,"Vehicles"
"HEV",2047,"SSP5",950303,"Vehicles"
"ICEV-D",2047,"SSP5",145395,"Vehicles"
"ICEV-G",2047,"SSP5",7872379,"Vehicles"
"CNG",2048,"SSP5",28688,"Vehicles"
"EV",2048,"SSP5",16878430,"Vehicles"
"FCV",2048,"SSP5",9298,"Vehicles"
"FFV",2048,"SSP5",1555664,"Vehicles"
"HEV",2048,"SSP5",962630,"Vehicles"
"ICEV-D",2048,"SSP5",147281,"Vehicles"
"ICEV-G",2048,"SSP5",7974496,"Vehicles"
"CNG",2049,"SSP5",28970,"Vehicles"
"EV",2049,"SSP5",17044269,"Vehicles"
"FCV",2049,"SSP5",9390,"Vehicles"
"FFV",2049,"SSP5",1570949,"Vehicles"
"HEV",2049,"SSP5",972088,"Vehicles"
"ICEV-D",2049,"SSP5",148728,"Vehicles"
"ICEV-G",2049,"SSP5",8052850,"Vehicles"
"CNG",2050,"SSP5",30034,"Vehicles"
"EV",2050,"SSP5",17670356,"Vehicles"
"FCV",2050,"SSP5",9734,"Vehicles"
"FFV",2050,"SSP5",1628654,"Vehicles"
"HEV",2050,"SSP5",1007796,"Vehicles"
"ICEV-D",2050,"SSP5",154192,"Vehicles"
"ICEV-G",2050,"SSP5",8348655,"Vehicles"
